SAMPLE,DESCRIP,NUMBER,TAKEOFF,KILOVOLT,CURRENT,BEAMSIZE,LINE,REL_LINE,Zn_WT_PCT,S_WT_PCT,Ga_WT_PCT,Ge_WT_PCT,Mn_WT_PCT,Co_WT_PCT,Fe_WT_PCT,As_WT_PCT,Se_WT_PCT,Cd_WT_PCT,Cu_WT_PCT,Ni_WT_PCT,Sb_WT_PCT,Ag_WT_PCT,Pb_WT_PCT,TOTAL,Zn_AT_PCT,S_AT_PCT,Ga_AT_PCT,Ge_AT_PCT,Mn_AT_PCT,Co_AT_PCT,Fe_AT_PCT,As_AT_PCT,Se_AT_PCT,Cd_AT_PCT,Cu_AT_PCT,Ni_AT_PCT,Sb_AT_PCT,Ag_AT_PCT,Pb_AT_PCT,FORMULA,BASIS,Zn_FORMULA,S_FORMULA,Ga_FORMULA,Ge_FORMULA,Mn_FORMULA,Co_FORMULA,Fe_FORMULA,As_FORMULA,Se_FORMULA,Cd_FORMULA,Cu_FORMULA,Ni_FORMULA,Sb_FORMULA,Ag_FORMULA,Pb_FORMULA,Zn_CDL99,S_CDL99,Ga_CDL99,Ge_CDL99,Mn_CDL99,Co_CDL99,Fe_CDL99,As_CDL99,Se_CDL99,Cd_CDL99,Cu_CDL99,Ni_CDL99,Sb_CDL99,Ag_CDL99,Pb_CDL99,DATETIME
C12ADM2_ZnS_2,N/A,18,40,20,100,10,271,5,66.107,33.203,0.03,0.002,-0.001,0.001,0.194,-0.007,-0.01,0.336,0.007,-0.034,0.006,0.001,,99.835,49.256,50.437,0.021,0.001,-0.001,0.001,0.17,-0.005,-0.006,0.145,0.005,-0.028,0.003,0,,1,S,0.9766,1,0.0004,0,0,0,0.0034,-0.0001,-0.0001,0.0029,0.0001,-0.0006,0.0001,0,,0.027,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0085,0.0076,0.018,0.0177,0.0103,0.0105,0.0179,,11/30/2017
C12ADM2_ZnS_3,N/A,19,40,20,100,10,272,1,67.164,33.319,0.07,0.013,0.002,-0.001,0.122,-0.011,-0.012,0.159,0.035,-0.025,0.004,-0.008,,100.829,49.608,50.172,0.048,0.009,0.002,-0.001,0.105,-0.007,-0.007,0.068,0.026,-0.021,0.001,-0.004,,1,S,0.9887,1,0.001,0.0002,0,0,0.0021,-0.0001,-0.0002,0.0014,0.0005,-0.0004,0,-0.0001,,0.027,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.018,0.0177,0.0102,0.0105,0.0179,,11/30/2017
C12ADM2_ZnS_3,N/A,19,40,20,100,10,273,2,66.811,33.087,0.047,-0.004,0,0.004,0.142,-0.021,-0.002,0.251,0.009,-0.024,-0.001,0,,100.301,49.642,50.12,0.033,-0.003,0,0.003,0.124,-0.013,-0.001,0.109,0.007,-0.02,0,0,,1,S,0.9905,1,0.0007,-0.0001,0,0.0001,0.0025,-0.0003,0,0.0022,0.0001,-0.0004,0,0,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.018,0.0177,0.0102,0.0105,0.0179,,11/30/2017
C12ADM2_ZnS_3,N/A,19,40,20,100,10,274,3,67.232,33.078,0.029,0.001,0,0.003,0.143,-0.011,-0.023,0.171,-0.012,-0.028,-0.003,0.018,,100.596,49.837,49.989,0.02,0,0,0.002,0.124,-0.007,-0.014,0.074,-0.009,-0.023,-0.001,0.008,,1,S,0.997,1,0.0004,0,0,0,0.0025,-0.0001,-0.0003,0.0015,-0.0002,-0.0005,0,0.0002,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.018,0.0177,0.0102,0.0105,0.0179,,11/30/2017
C12ADM2_ZnS_3,N/A,19,40,20,100,10,275,4,67.472,33.282,0.032,0.01,0,0.001,0.141,-0.009,-0.015,0.206,-0.007,-0.038,-0.001,-0.012,,101.062,49.768,50.05,0.022,0.007,0,0.001,0.121,-0.006,-0.009,0.088,-0.006,-0.031,0,-0.005,,1,S,0.9944,1,0.0004,0.0001,0,0,0.0024,-0.0001,-0.0002,0.0018,-0.0001,-0.0006,0,-0.0001,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.018,0.0177,0.0102,0.0105,0.0179,,11/30/2017
C12ADM2_ZnS_3,N/A,19,40,20,100,10,276,5,67.225,33.142,0.03,0.003,0,0.003,0.153,-0.007,-0.012,0.22,0.014,-0.031,-0.01,0.003,,100.732,49.762,50.016,0.021,0.002,0,0.002,0.132,-0.005,-0.007,0.095,0.011,-0.026,-0.004,0.001,,1,S,0.9949,1,0.0004,0,0,0,0.0026,-0.0001,-0.0001,0.0019,0.0002,-0.0005,-0.0001,0,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.018,0.0177,0.0102,0.0105,0.0179,,11/30/2017
C12ADM2_ZnS_3,N/A,19,40,20,100,10,277,6,66.981,33.296,0.029,0.003,0,-0.001,0.163,-0.011,-0.015,0.293,0,-0.029,-0.002,0.006,,100.711,49.542,50.209,0.02,0.002,0,-0.001,0.141,-0.007,-0.009,0.126,0,-0.024,-0.001,0.003,,1,S,0.9867,1,0.0004,0,0,0,0.0028,-0.0001,-0.0002,0.0025,0,-0.0005,0,0.0001,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.018,0.0177,0.0103,0.0105,0.0179,,11/30/2017
C12ADM2_ZnS_3,N/A,19,40,20,100,10,278,7,66.916,33.127,0.036,-0.003,-0.001,0.003,0.166,-0.019,-0.03,0.285,-0.017,-0.036,-0.005,-0.001,,100.42,49.662,50.122,0.025,-0.002,-0.001,0.002,0.144,-0.012,-0.018,0.123,-0.013,-0.03,-0.002,0,,1,S,0.9908,1,0.0005,0,0,0,0.0029,-0.0003,-0.0004,0.0025,-0.0003,-0.0006,0,0,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.018,0.0177,0.0102,0.0105,0.0179,,11/30/2017
C12ADM2_ZnS_3,N/A,19,40,20,100,10,279,8,66.566,32.74,0.034,0.003,0.001,0.002,0.161,-0.026,-0.025,0.263,-0.012,-0.037,0.005,-0.013,,99.662,49.828,49.964,0.024,0.002,0.001,0.002,0.141,-0.017,-0.015,0.115,-0.009,-0.031,0.002,-0.006,,1,S,0.9973,1,0.0005,0,0,0,0.0028,-0.0003,-0.0003,0.0023,-0.0002,-0.0006,0,-0.0001,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.018,0.0177,0.0102,0.0105,0.0179,,11/30/2017
C12ADM2_ZnS_3,N/A,19,40,20,100,10,280,9,66.965,32.913,0.029,0.001,0.002,0.003,0.151,-0.022,-0.016,0.232,0.001,-0.032,-0.001,-0.005,,100.221,49.847,49.948,0.02,0.001,0.002,0.002,0.132,-0.014,-0.01,0.1,0.001,-0.026,0,-0.002,,1,S,0.998,1,0.0004,0,0,0,0.0026,-0.0003,-0.0002,0.002,0,-0.0005,0,-0.0001,,0.0271,0.0042,0.0067,0.0088,0.0034,0.0037,0.0035,0.0086,0.0076,0.0181,0.0178,0.0103,0.0105,0.018,,11/30/2017
